"StockID","Title","Make","Model","Category","Image","Specification","Location","Country","Del","Myear","Videos"
"1486","PALS Leveler & feeder & uncoiler Machine","Pals ","650-L ","Leveler  ","3 ","Feeder
Max width: 650mm
Max Thickness : 2.3mm
Length:1600mm
Width:2200mm
Height:1800mm

Leveler
Length:1600mm
Width:1400mm
Height:1900mm
11 Rolls

Uncoiler
Length:1400mm
Width:1600mm
Height:1800mm","Navi Mumbai","Japan","n"," "," "
"1965","AMADA Make Hydraulic Bandsaw Machine","AMADA","H 600","Bandsaw",NULL,"Capacity : 600mm","Rabale, Navi Mumbai","Japan",NULL,,"https://youtube.com/shorts/D3hTJwMios8"
"1966","AMADA Make Hydraulic Bandsaw Machine","AMADA","H 650HD","Bandsaw",NULL,"Capacity : 650mm","Rabale, Navi Mumbai","Japan",NULL,,"https://youtube.com/shorts/ip1pTqE2LTs"
"1838","WMW Mikrosa Make Centreless Grinder","WMW Mikorsa","SASL 400/1","Grinder Centreless",NULL,"Grinding Diameter - 50..400mm
Grinding Wheel's Diameter - 800mm
Grinding Wheel's Width - 500mm
Dimensions - 4970x3400x2140mm
Weight - 13000kg","Rabale, Navi Mumbai","Germany",NULL,,
"1925","Om Japan Make CNC Single Column VTL","OM","TMS2-23/50.","VTL",NULL,"Chuck : 2300mm, 
Swing : 5000mm, 
Height : 1700mm
Cross Rail Vertical Travel : 1200mm
Ram Travel : 900mm
Table Loading Capacity : 10ton
Ram Tilting Angle : 30degree
Fanuc 21T Control","Rabale, Navi Mumbai","Japan",NULL,,"https://youtu.be/77cBbkcb60Y"
"1941","Mario Cantaluppi Make Vertical Rotary Grinder","Mario Cantaluppi","MC-800","Grinder Rotary",NULL,"Capacity : 800x200mm","Rabale, Navi Mumbai","Italy",NULL,,"https://youtu.be/QfT3kb6e5Bk"
"1947","OM Make Double Column VTL","OM","VTO 16","VTL",NULL,"Chuck Dia : 1600mm
Swing : 2000mm
Job Height : 1500mm
Cross Rail Travel : 1000mm
Ram Travel : 900mm","Rabale, Navi Mumbai","Japan",NULL,,"https://youtube.com/shorts/5WNB6wkKd_w"
"1914","Kehren Make Rotary Surface Grinder","Kehren","RS 6","Grinder Rotary Surface",NULL,"Magnet Size : 600mm","Rabale, Navi Mumbai","Germany",NULL,,
"1616"," Kearns S Type Horizontal Boring"," Kearns"," S Type","Boring Table","3","Facing Chuck Dia: 240mm<br>Vertical Travel: 300mm<br>Cross Travel: 300mm<br>Column Movement Travel: 300mm<br>Table Size: 560x400mm<br>Length Travel: 600mm","Navi Mumbai","England","n"," "," https://youtu.be/UgdaobzDEIA"
"1934","Raboma Make Radial Drilling Machine","Raboma","12RH 2500","Drill Radial",NULL,"Arm Length : 2600mm
Drilling Capacity : 100mm
","Rabale, Navi Mumbai","Germany",NULL,,"https://youtu.be/vrkbUf1DeP8"
